FIPS,COUNTYNAME,STATE,TIME_ZONE,CWA,FE_AREA,LATITUDE,LONGITUDE,PERCENTAGE_GBIF_OBS_ON_AG_LAND,PERCENTAGE_OF_AG_LAND_WITHIN_1KM_GBIF_OBS,PERCENT_AGRICULTURE,GEOMEAN_SCORE,TOTAL_GBIF_OBS_COUNT_2023,GBIF_AG_OBS_COUNT_2023,GBIF_OBS_DENSITY_KM2,OBSERVATIONAL_DISPARITY,PERCENT_DEVELOPED,PERCENT_FOREST,AREA_KM2,AG_AREA_KM2,COVERED_AG_AREA_KM2,POPULATION_DENSITY_2023_KM2,POPULATION_ESTIMATE_2023,MEDIAN_HOUSEHOLD_INCOME_2022,MEDIAN_HOUSEHOLD_INCOME_PERCENT_OF_STATE_TOTAL_2022,PERCENT_ADULTS_BACHELORS_DEGREE_2023,PERCENT_POVERTY_2023,UNEMPLOYMENT_RATE_2023,RANK
31033,Cheyenne,NE,M,CYS,pa,41.2198,-102.995,0.00462,0.04557,0.59670,0.05008,1300,6,0.41953,129.15584,0.04012,0.00008,3098.6919,1848.9895,84.2602,3.08,9541,56600,0.811,0.221,0.123,0.024,Bottom
31057,Dundy,NE,M,GLD,sw,40.1762,-101.6879,0.00697,0.05631,0.33303,0.05075,1578,11,0.66165,47.78049,0.02538,0.00004,2384.9587,794.2628,44.7262,0.65,1561,58400,0.837,0.233,0.135,0.017,Bottom
30015,Chouteau,MT,M,TFX,nc,47.8806,-110.4352,0.00665,0.04328,0.48712,0.05195,4661,31,0.45026,73.25113,0.01931,0.02798,10352.3795,5042.8511,218.2755,0.56,5847,51100,0.753,0.226,0.150,0.032,Bottom
31101,Keith,NE,M,LBF,sw,41.1988,-101.6613,0.00269,0.17592,0.30457,0.05243,8907,24,3.09895,113.22305,0.03164,0.00050,2874.3345,875.4361,154.0051,2.82,8113,60600,0.868,0.213,0.112,0.018,Bottom
20137,Norton,KS,C,GLD,nw,39.7844,-99.9034,0.00528,0.06307,0.46400,0.05366,1326,7,0.58100,87.87879,0.04354,0.00068,2282.6738,1059.1606,66.8052,2.33,5330,56600,0.822,0.194,0.139,0.020,Bottom
20095,Kingman,KS,C,ICT,sc,37.5589,-98.1364,0.00510,0.07041,0.43142,0.05371,7249,37,3.22949,84.59216,0.05106,0.01876,2244.6433,968.3840,68.1883,3.15,7066,65600,0.953,0.238,0.119,0.027,Bottom
20029,Cloud,KS,C,TOP,nc,39.4804,-97.6495,0.00235,0.12364,0.53503,0.05377,8526,20,4.58173,227.67234,0.05200,0.03729,1860.8708,995.6217,123.1003,4.76,8854,52500,0.763,0.224,0.121,0.028,Bottom
38037,Grant,ND,M,BIS,sc,46.3583,-101.6397,0.01368,0.03661,0.31343,0.05394,439,6,0.10164,22.91155,0.02110,0.00494,4314.4004,1352.2625,49.5043,0.51,2215,44000,0.601,0.212,0.163,0.016,Bottom
30055,McCone,MT,M,GGW,ne,47.6452,-105.7953,0.01050,0.05491,0.27628,0.05421,1714,18,0.24674,26.31238,0.01509,0.00079,6948.6060,1919.7609,105.4209,0.24,1676,59100,0.870,0.214,0.146,0.020,Bottom
20105,Lincoln,KS,C,ICT,cc,39.0453,-98.2078,0.00523,0.08123,0.41222,0.05595,1339,7,0.71817,78.81836,0.04297,0.01840,1864.4658,768.5701,62.4331,1.57,2920,58000,0.843,0.215,0.118,0.021,Bottom
48165,Gaines,TX,C,MAF,ww,32.7407,-102.6352,0.00649,0.05721,0.50847,0.05737,925,6,0.23764,78.34669,0.05274,0.00005,3892.4273,1979.1825,113.2243,5.79,22523,62500,0.864,0.081,0.134,0.029,Bottom
30091,Sheridan,MT,M,GGW,ne,48.7212,-104.5046,0.00589,0.06381,0.52945,0.05838,9500,56,2.15009,89.88964,0.02862,0.00580,4418.6080,2339.4320,149.2898,0.79,3498,63000,0.927,0.247,0.119,0.023,Bottom
